timestamp,version,asset,total_count,hourly_delta,delta_24h
2026-02-23 07:23,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-23 07:23,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-23 07:23,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-23 07:23,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-23 07:23,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-23 07:23,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-23 08:28,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,4010,3,43
2026-02-23 08:28,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1564,0,11
2026-02-23 08:28,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,460,0,1
2026-02-23 08:28,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-23 08:28,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-23 08:28,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-23 08:28,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-23 08:28,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-23 08:28,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-23 08:28,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-23 08:28,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-23 08:28,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-23 08:28,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-23 09:26,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,4012,2,45
2026-02-23 09:26,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1564,0,11
2026-02-23 09:26,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,460,0,1
2026-02-23 09:26,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-23 09:26,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-23 09:26,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-23 09:26,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
2026-02-23 09:26,v2.1,DroidOSLauncherv_2025.12.05.21.47.apk,872,0,0
2026-02-23 09:26,v2.1,DroidOSTrackpadKeyboardv_2025.12.05.21.47.apk,340,0,0
2026-02-23 09:26,v2.0,DroidOSLauncherv2.0_2025.12.04.19.47.apk,68,0,0
2026-02-23 09:26,v2.0,DroidOSTrackpadKeyboardv2.0_2025.12.04.16.44.apk,32,0,0
2026-02-23 09:26,v1.0,DroidOSLauncher_v1.0_2025.11.30.apk,112,0,0
2026-02-23 09:26,v1.0,DroidOSTrackpadKeyboard_v1.0_2025.11.30.apk,79,0,0
2026-02-23 10:24,v4.0,DroidOSLauncher4.0_2026.01.26.07.17.apk,4014,2,47
2026-02-23 10:24,v4.0,DroidOSTrackpad4.0_2026.01.26.07.17.apk,1564,0,11
2026-02-23 10:24,v3.11,DroidOSLauncherv3.11_2026.01.11.17.13.apk,460,0,1
2026-02-23 10:24,v3.11,DroidOSTrackpadKeyboardv3.11_2026.01.11.11.52.apk,222,0,0
2026-02-23 10:24,v3.1,DroidOSLauncherv3.1_2026.01.09.11.01.apk,96,0,0
2026-02-23 10:24,v3.1,DroidOSTrackpadKeyboardv3.1_2026.01.09.21.23.apk,47,0,0
2026-02-23 10:24,v3.0,DroidOSTrackpadKeyboardv3.0_2025.12.18.12.05.apk,233,0,0
